date,account,ticker,cluster,total_score,technical_score,fundamental_score,liquidity_score,time_decay_score,iv_rank,premium,dte,spread_pct,open_interest,distance_to_strike_pct,underlying_price,decision,reason,min_score,passed_filters,price_momentum_bonus
2026-08-16,A,SHOP,e_commerce,106.4,20,45,15,15,44.440000000000005,8.225,32,6.698002350176256,963,0.4438972232122621,154.315,GO,score>=gate,99,"{'max_risk_per_contract': 150, 'min_days_to_expiry': 30, 'min_implied_volatility_rank': 25, 'min_open_interest': 100, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 3}",0
2026-08-16,A,ALB,lithium_mining,111.3,20,50,15,15,50.94,9.705,32,6.8656716417910575,642,2.8504260946223883,136.12,GO,score>=gate,99,"{'max_risk_per_contract': 150, 'min_days_to_expiry': 30, 'min_implied_volatility_rank': 25, 'min_open_interest': 100, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 3}",0
2026-08-16,A,FCX,copper_mining,108.3,20,45,20,15,47.22,4.609999999999999,32,2.991452991452985,8507,2.1820917983446244,66.45,GO,score>=gate,99,"{'max_risk_per_contract': 150, 'min_days_to_expiry': 30, 'min_implied_volatility_rank': 25, 'min_open_interest': 100, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 3}",0
2026-08-16,B,INTC,ai_chips,110.8,20,35,20,15,63.50134155273439,5.475,32,2.7027027027026933,4475,4.878048780487805,102.5,GO,score>=gate,101,"{'max_risk_per_contract': 300, 'min_days_to_expiry': 30, 'min_implied_volatility_rank': 30, 'min_open_interest': 200, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 5}",0.0
2026-08-16,B,NVDA,ai_chips,131.2,20,45,20,15,38.03772900390625,5.85,32,1.6949152542372972,12775,4.5123483286828225,225.16000366210938,GO,score>=gate,101,"{'max_risk_per_contract': 300, 'min_days_to_expiry': 30, 'min_implied_volatility_rank': 30, 'min_open_interest': 200, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 5}",5.0
2026-08-16,B,QCOM,ai_chips,120.78999999999999,30,35,20,15,44.79,6.02,32,1.647446457990124,3196,3.5214664737096015,165.84,GO,score>=gate,101,"{'max_risk_per_contract': 300, 'min_days_to_expiry': 30, 'min_implied_volatility_rank': 30, 'min_open_interest': 200, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 5}",4.69
2026-08-16,B,QBTS,photonics_quantum,102.1,20,35,20,15,79.44,1.92,32,2.061855670103095,859,0.8030231459612739,21.17,GO,score>=gate,101,"{'max_risk_per_contract': 300, 'min_days_to_expiry': 30, 'min_implied_volatility_rank': 30, 'min_open_interest': 200, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 5}",0
2026-08-16,B,JOBY,ev_aviation,104.1,20,35,20,15,72.26,0.71,32,2.7777777777777803,4144,1.073910296904611,7.915,GO,score>=gate,101,"{'max_risk_per_contract': 300, 'min_days_to_expiry': 30, 'min_implied_volatility_rank': 30, 'min_open_interest': 200, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 5}",0
2026-08-16,A,SHOP,e_commerce,106.4,20,45,15,15,44.440000000000005,8.225,32,6.698002350176256,963,0.4438972232122621,154.315,GO,score>=gate,99,"{'max_risk_per_contract': 150, 'min_days_to_expiry': 30, 'min_implied_volatility_rank': 25, 'min_open_interest': 100, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 3}",0
2026-08-16,A,ALB,lithium_mining,111.3,20,50,15,15,50.94,9.705,32,6.8656716417910575,642,2.8504260946223883,136.12,GO,score>=gate,99,"{'max_risk_per_contract': 150, 'min_days_to_expiry': 30, 'min_implied_volatility_rank': 25, 'min_open_interest': 100, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 3}",0
2026-08-16,A,FCX,copper_mining,108.3,20,45,20,15,47.22,4.609999999999999,32,2.991452991452985,8507,2.1820917983446244,66.45,GO,score>=gate,99,"{'max_risk_per_contract': 150, 'min_days_to_expiry': 30, 'min_implied_volatility_rank': 25, 'min_open_interest': 100, 'max_bid_ask_spread_pct': 7, 'max_strike_distance_pct': 3}",0
